"","x"
"TCGA-A2-A04P-01",1
"TCGA-A2-A0CM-01",1
"TCGA-BH-A18V-01",1
"TCGA-BH-A18Q-01",1
"TCGA-BH-A18K-01",1
"TCGA-BH-A0E6-01",1
"TCGA-AO-A0J4-01",1
"TCGA-A7-A0CE-01",1
"TCGA-A7-A0DA-01",1
"TCGA-D8-A142-01",1
"TCGA-D8-A143-01",1
"TCGA-AQ-A04J-01",1
"TCGA-A2-A0D0-01",1
"TCGA-A2-A04U-01",1
"TCGA-AO-A0J6-01",1
"TCGA-A2-A0D2-01",1
"TCGA-A2-A04Q-01",1
"TCGA-AO-A12F-01",1
"TCGA-A2-A04T-01",1
"TCGA-B6-A0IQ-01",1
"TCGA-B6-A0I2-01",1
"TCGA-B6-A0IJ-01",1
"TCGA-A8-A07O-01",1
"TCGA-A8-A07R-01",1
"TCGA-A8-A07U-01",1
"TCGA-A8-A08H-01",1
"TCGA-A8-A08R-01",1
"TCGA-AN-A04D-01",2
"TCGA-AN-A0AL-01",1
"TCGA-AN-A0AR-01",2
"TCGA-AN-A0AT-01",1
"TCGA-AN-A0FJ-01",2
"TCGA-AN-A0FL-01",2
"TCGA-AN-A0FX-01",1
"TCGA-AR-A0TS-01",1
"TCGA-AR-A0U1-01",1
"TCGA-AR-A1AH-01",1
"TCGA-BH-A0AV-01",1
"TCGA-BH-A0BG-01",1
"TCGA-BH-A0BL-01",1
"TCGA-BH-A0BW-01",1
"TCGA-BH-A0DL-01",1
"TCGA-BH-A18G-01",1
"TCGA-C8-A12K-01",1
"TCGA-C8-A12V-01",1
"TCGA-C8-A131-01",1
"TCGA-C8-A134-01",1
"TCGA-D8-A147-01",1
"TCGA-E2-A14R-01",1
"TCGA-E2-A14X-01",1
"TCGA-E2-A14Y-01",1
"TCGA-E2-A150-01",1
"TCGA-E2-A158-01",2
"TCGA-E2-A159-01",1
"TCGA-A8-A08L-01",1
"TCGA-B6-A0I9-01",2
"TCGA-A8-A09X-01",1
"TCGA-BH-A18P-01",2
"TCGA-A8-A08J-01",2
"TCGA-BH-A18R-01",2
"TCGA-BH-A0DZ-01",2
"TCGA-AO-A0J2-01",1
"TCGA-BH-A0EE-01",1
"TCGA-A2-A0D1-01",1
"TCGA-A2-A04X-01",1
"TCGA-A2-A0CX-01",1
"TCGA-A2-A04W-01",1
"TCGA-AO-A12D-01",1
"TCGA-A2-A0CL-01",1
"TCGA-A2-A0EQ-01",1
"TCGA-B6-A0RH-01",1
"TCGA-A8-A076-01",2
"TCGA-A8-A07B-01",2
"TCGA-A8-A07I-01",2
"TCGA-A8-A081-01",2
"TCGA-A8-A08B-01",1
"TCGA-A8-A08X-01",1
"TCGA-A8-A092-01",1
"TCGA-A8-A094-01",1
"TCGA-A8-A09G-01",2
"TCGA-A8-A0A7-01",1
"TCGA-AN-A04C-01",1
