GeneCluster	X1	X2	X3	P.value	Q.value
hsa.miR.34a	3	6.18587394972093	4.94718826027397	6.25571527916667	1.36433388094699e-10	5.43004884616904e-08
hsa.miR.29b.2.	1	4.85811686944186	4.16692152191781	3.3000448175	5.8987197488312e-10	1.17384523001741e-07
hsa.miR.708	1	4.6256801604186	3.52689977945205	4.33717307166667	1.40833634894074e-09	1.86839288959472e-07
hsa.miR.339.5p	3	3.15810154502326	1.78931070164384	3.58780784416667	1.70386134714873e-09	1.69534204041299e-07
hsa.miR.193b	1	6.16356950874419	5.00249218493151	6.05271687083333	5.30878997409696e-09	4.22579681938118e-07
hsa.miR.26b	3	9.17449939548837	8.20672722561644	9.22182520333333	6.97117502438834e-09	4.6242127661776e-07
hsa.miR.324.5p	3	3.87208369865116	2.0885215639726	4.93785369416667	2.2888238974019e-08	1.30135987309422e-06
hsa.miR.425	3	7.29892645051163	5.91438625369863	7.47205278083333	3.43108348416665e-08	1.70696403337291e-06
hsa.miR.29b	3	7.425358686	5.91196826739726	7.74878616416667	3.7729589780963e-08	1.66848630364703e-06
hsa.miR.155	3	7.2613253432093	6.04105128506849	7.29754776833333	5.58856525238024e-08	2.22424897044734e-06
hsa.miR.874	1	3.38436720488372	2.50299598506849	3.2463223775	8.18177108745333e-08	2.96031353891493e-06
hsa.miR.342.5p	1	3.42808101055814	2.75315494931507	2.17690356416667	1.01369236724153e-07	3.36207968468441e-06
hsa.miR.493.	1	2.59804097688372	1.79408921917808	1.95599473666667	1.21939305803551e-07	3.7332187469087e-06
hsa.miR.495	1	1.60012292586047	0.844977245479452	1.38343686	1.38655099410999e-07	3.94176639754125e-06
hsa.miR.146b.5p	3	8.29986226493023	6.92659190438356	8.86639699666667	1.45910676561129e-07	3.87149661808862e-06
hsa.miR.454	3	2.34196606534884	1.16222139616438	2.80318620416667	1.58213507381563e-07	3.93556099611638e-06
hsa.miR.342.3p	1	7.4447586735814	6.81307172287671	6.12470469166667	2.02085527368962e-07	4.73117881722628e-06
hsa.miR.103a.2.	3	1.3258736952093	-0.0990340876712329	1.9522374125	2.17268625219718e-07	4.80405071319155e-06
hsa.miR.191	3	9.23645709302326	7.88055020534247	9.75460526166667	2.21502378269894e-07	4.63989192375882e-06
hsa.miR.671.5p	3	1.86068695437209	0.620456588493151	2.41956830083333	2.75530784391036e-07	5.48306260938162e-06
hsa.let.7i	3	9.2389782355814	8.29310539164384	9.45768880583333	3.27764333442232e-07	6.2119145100004e-06
hsa.miR.29c.	1	4.35091863455814	3.95539307534247	3.04280435333333	3.58056441279812e-07	6.47756652860752e-06
hsa.miR.149.	1	0.437019553116279	-0.404671836712329	-0.339871474166667	6.57264770417836e-07	1.13735382011434e-05
hsa.miR.423.3p	3	6.13681861344186	4.78377051	6.95573405416667	7.88223438103511e-07	1.30713720152166e-05
hsa.miR.29a.	3	1.99759517888372	1.12905031383562	2.12378440333333	7.95229193322107e-07	1.26600487576879e-05
hsa.miR.664	1	4.30388960855814	3.5374417990411	3.9476674525	1.46956769227073e-06	2.24956900586057e-05
hsa.miR.887	1	2.10444757865116	1.19275197328767	1.73434492583333	1.53558089594615e-06	2.26355998735765e-05
hsa.miR.574.3p	3	5.93429428655814	4.83425189164384	6.531216655	2.20791348317525e-06	3.13839130822768e-05
hsa.miR.103a	1	13.9564839641395	13.189056059863	13.89792732	2.3853818508211e-06	3.27373095388551e-05
hsa.miR.766	3	2.20541150255814	1.28739496726027	2.43803865416667	2.66967831547189e-06	3.54177323185937e-05
hsa.miR.29b.1.	3	1.53346766427907	0.489044907808219	1.97084019583333	3.75567388688577e-06	4.82180066767915e-05
hsa.miR.3614.5p	1	0.906478024	0.103100459315068	0.569036075	3.92892399347497e-06	4.8865992168845e-05
hsa.miR.26a.2.	1	1.8623422267907	1.09499295753425	1.7955481475	3.97055200989e-06	4.78872636344309e-05
hsa.miR.361.5p	1	8.07638503134884	7.63911454260274	8.01272000583333	4.16909003165725e-06	4.88028774293996e-05
hsa.let.7g	3	8.68923207646512	7.56016481684931	9.49395608416667	4.18681426648528e-06	4.76100593731755e-05
hsa.miR.324.3p	3	3.74945231604651	2.62581755	4.44407813833333	4.41479621265084e-06	4.88080247954176e-05
hsa.miR.24.2.	3	3.5715570847907	2.41405477054795	4.22268433333333	4.49938768660125e-06	4.83988188991161e-05
hsa.miR.197	3	8.05902462274419	6.56117992616438	9.36992652666667	4.5714424046994e-06	4.78798441334305e-05
hsa.miR.24	3	9.95343370595349	8.88520407369863	10.674390815	5.8219877607318e-06	5.94141315069553e-05
hsa.miR.1226	3	1.34304241883721	-0.034324727260274	2.28161521416667	6.1549009807945e-06	6.12412647589053e-05
hsa.miR.642a	1	2.05526208051163	1.14322475890411	1.40846977083333	6.83654150838705e-06	6.6364476105806e-05
hsa.miR.210	3	9.29257663934884	7.36173858684931	10.5400674975	8.26266878607165e-06	7.82986232584885e-05
hsa.miR.4326	3	2.3434138344186	0.630886488493151	3.21280042	1.05807557541534e-05	9.79335067477456e-05
hsa.miR.27b.	3	2.61280010697674	1.72882664191781	2.87869221083333	1.27184773355662e-05	0.000115044408626258
hsa.let.7a.	3	4.77176327767442	3.7585977509589	5.21636441333333	1.29368186586967e-05	0.000114418973914695
hsa.miR.15a	3	5.685591604	4.80906431493151	6.12075885666667	1.44384513605791e-05	0.000124923992206749
hsa.miR.301a	3	3.08604785190698	1.65228516356164	3.97787425666667	1.4783402346597e-05	0.000125187109232885
hsa.miR.615.3p	3	2.50168825623256	1.34515742328767	2.6076996975	1.52123960243939e-05	0.0001261361170356
hsa.miR.186	3	7.54216301604651	6.44115089753425	8.51970689583333	1.67127235630502e-05	0.000135748244450897
hsa.miR.149	1	5.78235136776744	4.94473654205479	4.41297449333333	1.68264571779568e-05	0.000133938599136536
hsa.miR.940	3	1.70947660190698	0.52347912109589	2.2880496925	1.6991015002215e-05	0.000132596548448658
hsa.miR.22.	3	4.06550442962791	3.22451241191781	4.34651953583333	2.01393341510374e-05	0.00015414336523294
hsa.miR.484	3	5.68877627688372	4.53726981931507	6.57631834083333	2.02338054523025e-05	0.000151944425849366
hsa.miR.361.3p	1	4.65408277386047	4.03794232164384	4.4522036625	2.14217947010523e-05	0.000157886560944793
hsa.miR.199b.5p	1	6.84779788525581	6.29660859465753	5.83104455833333	2.24917459712327e-05	0.000162758452664557
hsa.miR.99b.	1	5.56942546702326	4.9311703269863	5.52012231083333	2.35117536483905e-05	0.000167101392001061
hsa.miR.145	1	9.16677136269768	8.29014722712329	8.97772958166667	2.57687922273582e-05	0.000179929461517343
hsa.miR.21.	1	10.5315193456744	10.0365805136986	9.88051832083333	2.59782498544456e-05	0.000178264542104644
hsa.miR.93.	3	2.89112046823256	1.66518381739726	3.96310601	2.61165030477293e-05	0.000176175732423665
hsa.miR.1301	3	2.50754837795349	1.19644158109589	3.61592749416667	2.87225353345449e-05	0.000190526151052481
