GeneCluster	X1	X2	P.Value
C1QC	1	0.725	0.692	0.0264705558942872
C4orf39	2	0.167	0.319	1.24476103629743e-12
FAM89A	2	0.193	0.596	1.29697883617728e-31
FMNL1	2	0.308	0.397	0.000134324616664039
CHST2	2	0.291	0.624	9.87612544036978e-22
KRT8	1	0.356	0.27	3.34103312912657e-07
PPP3R2	1	0.612	0.531	0.00177883384258076
SLC25A5	1	0.619	0.589	0.000809417139198283
STAT5A	2	0.381	0.56	8.82073346009978e-10
GPR64	1	0.816	0.728	2.2132947930795e-06
GPHA2	1	0.57	0.5	5.1168397069154e-05
ADCK4	1	0.286	0.267	0.0106387672856412
BCAS3	1	0.089	0.079	0.00209925092541854
TACC1	2	0.034	0.141	6.04184820858283e-12
PPP2R1A	1	0.142	0.114	0.000832220175251835
PPARG	2	0.131	0.42	1.29418214828133e-19
SNCAIP	2	0.337	0.518	9.0290605258931e-10
PPARGC1A	2	0.243	0.283	0.00590796148564957
SULT4A1	2	0.129	0.333	1.17942875465536e-16
UBE2L6	2	0.028	0.048	0.00546830319567969
GRIK3	2	0.156	0.249	4.70394479227832e-05
UCP3	1	0.837	0.821	0.0023903081252225
HOXC11	2	0.231	0.298	0.0372096981386764
RPS26	1	0.073	0.066	0.0441185369167129
CPNE7	2	0.107	0.289	9.35619456536473e-13
SOX7	2	0.15	0.455	7.32649142128579e-23
FMR1	1	0.419	0.355	1.30171873605882e-05
TAS2R8	1	0.763	0.691	3.59866142505737e-05
SLC32A1	2	0.242	0.403	9.23677956835819e-11
RPRML	2	0.099	0.208	4.28194395790084e-11
RP6.213H19.1	1	0.457	0.419	0.0309780832056198
STK33	2	0.193	0.524	6.82840035515159e-22
PGGT1B	1	0.468	0.423	0.0220435134030081
SLC39A4	1	0.877	0.827	0.00208884614244224
COX11	1	0.089	0.081	0.013772553791204
HTATSF1	1	0.57	0.539	0.00489897682593302
AMPH	2	0.094	0.224	2.63985540969228e-09
MYBPC3	1	0.834	0.796	0.000218769520639766
CUBN	1	0.568	0.412	4.07583637758614e-09
ALS2CR11	2	0.64	0.693	0.0135503652801001
CRABP1	2	0.177	0.43	4.23444900506273e-18
PTF1A	2	0.402	0.588	8.84071170288558e-09
TMEM2	2	0.222	0.31	1.30018096453296e-07
SULF2	2	0.107	0.135	0.0140389403926868
LGI4	1	0.834	0.815	0.0275652376988081
TCP10L	1	0.555	0.52	0.0182058738707225
FKBP1B	2	0.185	0.373	3.28134312233799e-12
FAM118A	2	0.087	0.211	6.8792556274211e-11
FAM20A	2	0.29	0.535	2.43365069302893e-25
MS4A8B	1	0.473	0.388	0.000166756957210273
EBP	1	0.396	0.339	6.98849164570609e-05
UCP1	2	0.243	0.446	9.69771114575547e-11
MKX	2	0.321	0.539	5.48378486730764e-12
CENPI	1	0.345	0.309	0.0141844524582903
MGAT4A	1	0.619	0.549	0.0105154078191218
NANOS1	2	0.368	0.43	0.00544588946175176
TMEM74	2	0.266	0.501	4.41875390278003e-10
RASGRF1	2	0.132	0.337	3.17803430451062e-21
MRPL41	1	0.121	0.105	0.0164551743975502
CHID1	2	0.086	0.125	2.52084708866958e-06
SPOCD1	1	0.674	0.595	0.000785070620571587
STAG2	1	0.407	0.363	0.0017449882264061
SHOX2	2	0.134	0.233	2.33303070321e-06
SLC25A43	1	0.313	0.264	0.00172271447102768
CCDC91	1	0.715	0.681	0.000495490258181413
PPP1R1A	2	0.047	0.059	0.00494986172100832
FNDC4	2	0.141	0.322	6.19271171335766e-14
PSMD10	1	0.232	0.2	0.018430451079971
NT5E	2	0.158	0.408	2.85623994298809e-16
SH3GL2	2	0.138	0.353	1.01184716857738e-17
ARID3A	1	0.618	0.561	0.00518363239341266
COX7B	1	0.421	0.361	0.000115048866741796
SEC61A2	1	0.757	0.651	0.0010991936196042
IFT88	1	0.297	0.264	0.0218405211376849
SOX21	2	0.25	0.447	2.67591734951372e-10
PHF16	1	0.483	0.446	0.0228672084121985
WIF1	2	0.139	0.355	2.19696683393186e-17
DIO1	1	0.427	0.368	0.0499212928502911
FOXQ1	2	0.141	0.309	2.04390717275429e-19
MAGEA10	1	0.87	0.83	0.0378026952478467
AMPD2	2	0.07	0.098	0.0113405015131132
IQCK	1	0.415	0.352	0.000519725697827792
FAM123A	2	0.208	0.524	3.51913445851685e-25
ABCA6	1	0.344	0.27	4.78467912572494e-06
RAB3B	2	0.045	0.082	0.00228206050278795
SAA4	1	0.609	0.485	2.63454579038895e-10
DGKA	2	0.206	0.229	0.0198961833213109
EXOC8	1	0.142	0.105	0.00752603224336153
C7orf16	1	0.474	0.368	0.000181627971994918
IRF6	1	0.132	0.114	0.0107862310831676
CAPSL	1	0.292	0.202	3.15857678858493e-06
GIPC2	2	0.44	0.569	1.6734786738827e-06
TBP	1	0.265	0.233	0.0109969745541742
FSCN1	2	0.24	0.377	4.05616847737769e-14
AIFM1	1	0.344	0.302	0.0045833191639124
SYT11	2	0.146	0.252	2.1558782415325e-09
UGT8	1	0.806	0.758	0.000611229292873746
GLB1L3	2	0.169	0.454	6.86819131961452e-21
MMP20	1	0.678	0.603	2.0186579846639e-06
EMB	2	0.128	0.147	0.0272626203290542
KRTAP5.9	1	0.818	0.769	0.00522286962317542
PTRH2	1	0.08	0.069	0.000917835686870774
ATP6V1E2	1	0.504	0.473	0.0369099624234287
SLC25A46	2	0.068	0.08	0.0471018106629375
